lemma,part_of_speech,synonyms
algonquian,adjective,Algonquian;Algonkian;Algonquin
algonquin,noun,Algonquian;Algonquin|Algonquian;Algonquin;Algonquian language
algonquin,adjective,Algonquian;Algonkian;Algonquin
alien,noun,foreigner;noncitizen;outlander|stranger;unknown|extraterrestrial being;extraterrestrial
alien,verb,alienate|estrange;alienate;disaffect
alien,satellite,foreign|exotic
alienated,verb,estrange;alienate;alien;disaffect|alien;alienate|alienate
alienated,satellite,anomic;disoriented|estranged
alienating,verb,estrange;alienate;alien;disaffect|alien;alienate|alienate
aliform,satellite,alar;alary;wing-shaped
alight,verb,light;perch|climb down
alight,satellite,ablaze;afire;aflame;aflare;on fire
aligned,verb,align;aline;line up;adjust|align|align;array|align;ordinate;coordinate
aligning,verb,align;aline;line up;adjust|align|align;array|align;ordinate;coordinate
aligning,satellite,positioning
alike,adjective,similar;like
alike,adverb,likewise
alimental,satellite,alimentary;nourishing;nutrient;nutritious;nutritive
alimentary,satellite,alimental;nourishing;nutrient;nutritious;nutritive
aliquot,noun,aliquot part
alive,adjective,live|animated
alive,satellite,active|alert;awake|live
alkalescent,satellite,alcalescent
alkalic,adjective,alkaline
alkaline,adjective,alkalic
all,adverb,wholly;entirely;completely;totally;altogether;whole
all-around,satellite,all-round;well-rounded
all-embracing,satellite,across-the-board;all-encompassing;all-inclusive;blanket;broad;encompassing;extensive;panoptic;wide
all-encompassing,satellite,across-the-board;all-embracing;all-inclusive;blanket;broad;encompassing;extensive;panoptic;wide
all-fired,adverb,bloody;damn
all-important,satellite,all important;crucial;essential;of the essence
all-inclusive,satellite,across-the-board;all-embracing;all-encompassing;blanket;broad;encompassing;extensive;panoptic;wide
all-knowing,satellite,omniscient
all-night,satellite,nightlong;overnight
